Body Part,"Exercise"
Abs,"Weighted Crunch"
Abs,"Weighted Leg Raise"
Abs,"Dumbbell Side Bend"
Back,"Wide Row"
Back,"Bent Over Row"
Back,"Kneeling One Arm Row"
Back,"One Arm Row"
Back,"Dead Lift"
Back,"Stiff Legged Dead Lift"
Back,"Bend to Opposite Foot"
Back,"Twisting Bend to Opposite Foot"
Back,"Back Fly"
Biceps,"One-at-a-Time Biceps Curl"
Biceps,"Alternated Biceps Curl"
Biceps,"Inner-Biceps Curl"
Biceps,"Biceps Curl"
Biceps,"Hammer Curl"
Biceps,"Seated Alternated Biceps Curl"
Biceps,"Seated Biceps Curl"
Biceps,"Incline Alternated Biceps Curl"
Biceps,"Incline Biceps Curl"
Biceps,"Incline Biceps Bench Curl"
Biceps,"Concentration Biceps Curl"
Biceps,"Seated Inner-Biceps Curl"
Biceps,"Seated Concentration Curl"
Biceps,"Seated Isolated Dumbbell Curl"
Biceps,"Preacher Biceps Curl (Supination Grip)"
Biceps,"Preacher Biceps Curl (Neutral Grip)"
Biceps,"Bench Alternated Biceps Curl"
Biceps,"Supine Biceps Curl"
Chest,"Bench Press"
Chest,"Bench Press (Neutral Grip)"
Chest,"Incline Bench Press"
Chest,"Incline Bench Press (Neutral Grip)"
Chest,"Decline Bench Press"
Chest,"Lying Fly"
Chest,"Incline Fly"
Chest,"Straight-Arm Pullover"
Chest,"Bent-Arm Pullover"
Forearms,"Palms-Up Wrist Curl"
Forearms,"One-Arm Palm-Up Wrist Curl"
Forearms,"Palms-Down Wrist Curl"
Forearms,"One-Arm Palm-Down Wrist Curl"
Legs,"Squat"
Legs,"Reverse Lunge"
Legs,"Stationary Lunge"
Legs,"Side Lunge"
Legs,"Dumbbell Swing Through"
Legs,"Stiff Legged Dead Lift"
Legs,"Toe Raise"
Legs,"One Legged Toe Raise"
Legs,"Seated One Legged Toe Raise"
Shoulders,"Palms-In Shoulder Press"
Shoulders,"Back Supported Palms-In Shoulder Press"
Shoulders,"Palms-In Alternated Shoulder Press"
Shoulders,"Seated Palms-In Alternated Shoulder Press"
Shoulders,"Shoulder Press"
Shoulders,"Seated Shoulder Press"
Shoulders,"Back Supported Shoulder Press"
Shoulders,"Lateral Raise"
Shoulders,"Bent-Over One-Arm Deltoid Raise"
Shoulders,"Seated Side Lateral Raise"
Shoulders,"Bent-Over Rear Deltoid Raise"
Shoulders,"Rear Deltoid Raise"
Shoulders,"Rear Deltoid Circle"
Shoulders,"Straight-Arm Front Deltoid Raise"
Shoulders,"Upright Row"
Shoulders,"Front Raise"
Shoulders,"Shoulder Shrug"
Shoulders,"Push Press"
Shoulders,"Crouched Rear Deltoid Row"
Triceps,"Two-Arms Triceps Extension"
Triceps,"One-Arm Triceps Extension"
Triceps,"Seated Triceps Extension"
Triceps,"Triceps Kickback"
Triceps,"Bent-Over One-Arm Triceps Extension"
Triceps,"Lying Triceps Extension"
Triceps,"Triceps Bench Press"
