Town,Latitude,Longitude
Aberdeen,35.131547,-79.4294789
Ahoskie,36.2868223,-76.9846808
Alamance,36.0702678,-79.3992505
Albemarle,35.3501426,-80.2000578
Alliance,35.1448881,-76.8021556
Andrews,35.2017495,-83.8240676
Angier,35.5071045,-78.7391813
Ansonville,35.1045943,-80.1092259
Apex,35.7325352,-78.8505516
Arapahoe,35.0261537,-76.8255535
Archdale,35.914581,-79.9719831
Archer Lodge,35.69421265,-78.37669126610349
Arlington,35.2693066,-80.9725736
Asheboro,35.7079146,-79.8136446
Asheville,35.6009498,-82.5540161
Askewville,36.1098801,-76.9399544
Atkinson,34.5285008,-78.171107
Atlantic Beach,34.6990505,-76.7402108
Aulander,36.2296005,-77.1141282
Aurora,35.3054322,-76.7886736
Autryville,34.9979453,-78.6425144
Ayden,35.4726626,-77.4155203
Badin,35.4059744,-80.1167203
Bailey,35.7809129,-78.118429
Bakersville,36.0156735,-82.1587351
Bald Head Island,33.8598511,-77.9895326
Banner Elk,36.1631818,-81.8715019
Bath,35.4771094,-76.8116045
Bayboro,35.1429445,-76.7702093
Bear Grass,35.7662709,-77.1274582
Beaufort,35.469331,-76.8927522
Beech Mountain,36.0162211,-82.4062455
Belhaven,35.5401653,-76.6229874
Belmont,35.2438272,-81.0377322
Belville,34.22003155,-77.99384313753623
Belwood,35.477076,-81.523424
Benson,35.3814368,-78.5480563
Bermuda Run,36.0037477,-80.4219996
Bessemer City,35.284733,-81.283906
Bethania,36.1823602,-80.3381077
Bethel,35.8071029,-77.3788558
Beulaville,34.9237763,-77.7738667
Biltmore Forest,35.5337246,-82.5284561
Biscoe,35.3600553,-79.7796559
Black Creek,35.6352337,-77.9329872
Black Mountain,35.612202499999995,-82.33168739828443
Bladenboro,34.5386768,-78.7875887
Blowing Rock,36.1350245,-81.6777907
Boardman,34.4390555,-78.949195
Bogue,34.6993286,-77.0368913
Boiling Spring Lakes,34.0313504,-78.0672677
Boiling Springs,35.254292,-81.6670407
Bolivia,34.0676715,-78.1483283
Bolton,34.3207243,-78.4019497
Boone,36.2165362,-81.6746158
Boonville,36.2326362,-80.7081209
Bostic,35.362623,-81.835657
Brevard,35.2334472,-82.7342919
Bridgeton,35.1215489,-77.02078
Broadway,35.4579333,-79.0530768
Brookford,35.7031879,-81.3478641
Brunswick,34.0718195,-78.1914215
Bryson City,35.4309291,-83.447381
Bunn,35.958201,-78.25203335173745
Burgaw,34.5521113,-77.926098
Burlington,36.0956918,-79.4377991
Burnsville,35.9172243,-82.2996695
Butner,36.14268005,-78.80261814712836
Cajah's Mountain,35.847194,-81.53906535274834
Calabash,33.8907278,-78.5683446
Calypso,35.153776,-78.105269
Camden,36.3106247,-76.1150606
Cameron,35.3268226,-79.255303
Candor,35.2951421,-79.7453164
Canton,35.5328838,-82.8373558
Cape Carteret,34.6915509,-77.0630033
Carolina Beach,34.0351727,-77.8935966
Carolina Shores,33.9010054,-78.5805673
