,Town,Latitude,Longitude,Distance
0,Aberdeen,35.131547,-79.4294789,72.47529024832477
1,Ahoskie,36.2868223,-76.9846808,106.19575779116579
2,Alamance,36.0702678,-79.3992505,29.80138137111963
3,Albemarle,35.3501426,-80.2000578,90.16925291303822
4,Alliance,35.1448881,-76.8021556,132.82087830092127
5,Andrews,35.2017495,-83.8240676,285.40185739488015
6,Angier,35.5071045,-78.7391813,39.94612214803353
7,Ansonville,35.1045943,-80.1092259,96.89717946456733
8,Apex,35.7325352,-78.8505516,23.772664424438968
9,Arapahoe,35.0261537,-76.8255535,135.92384793657584
10,Archdale,35.914581,-79.9719831,62.92129533016942
11,Archer Lodge,35.69421265,-78.37669126610349,38.12109899764416
12,Arlington,35.2693066,-80.9725736,130.88963080221305
13,Asheboro,35.7079146,-79.8136446,58.897029393315684
14,Asheville,35.6009498,-82.5540161,209.56386917835513
15,Askewville,36.1098801,-76.9399544,107.85126260805198
16,Atkinson,34.5285008,-78.171107,113.76754773319283
17,Atlantic Beach,34.6990505,-76.7402108,153.0934112051308
18,Aulander,36.2296005,-77.1141282,98.56945693644465
19,Aurora,35.3054322,-76.7886736,128.418053645075
20,Autryville,34.9979453,-78.6425144,75.46387806263074
21,Ayden,35.4726626,-77.4155203,91.57283776280418
22,Badin,35.4059744,-80.1167203,84.11649018981534
23,Bailey,35.7809129,-78.118429,46.67381425112978
24,Bakersville,36.0156735,-82.1587351,184.3577100900153
25,Bald Head Island,33.8598511,-77.9895326,160.74635277428885
26,Banner Elk,36.1631818,-81.8715019,168.17605733227356
27,Bath,35.4771094,-76.8116045,122.65296119500609
28,Bayboro,35.1429445,-76.7702093,134.4629078912665
29,Bear Grass,35.7662709,-77.1274582,99.87267489855634
30,Beaufort,35.469331,-76.8927522,118.56472189094973
31,Beech Mountain,36.0162211,-82.4062455,198.20936281521313
32,Belhaven,35.5401653,-76.6229874,131.3386530509861
33,Belmont,35.2438272,-81.0377322,134.9713132043393
34,Belville,34.22003155,-77.99384313753623,137.22992962469414
35,Belwood,35.477076,-81.523424,154.87086361767933
36,Benson,35.3814368,-78.5480563,51.19995525628179
37,Bermuda Run,36.0037477,-80.4219996,87.22637174904686
38,Bessemer City,35.284733,-81.283906,146.5152176222162
39,Bethania,36.1823602,-80.3381077,82.60857927454016
40,Bethel,35.8071029,-77.3788558,85.47859213449726
41,Beulaville,34.9237763,-77.7738667,100.59123415343758
42,Biltmore Forest,35.5337246,-82.5284561,209.0129538243542
43,Biscoe,35.3600553,-79.7796559,71.25493497975968
44,Black Creek,35.6352337,-77.9329872,60.62582076673051
45,Black Mountain,35.612202499999995,-82.33168739828443,197.10741282236253
46,Bladenboro,34.5386768,-78.7875887,106.15042950925067
47,Blowing Rock,36.1350245,-81.6777907,157.31508275216126
48,Boardman,34.4390555,-78.949195,113.01849057365872
49,Bogue,34.6993286,-77.0368913,140.33294168055184
50,Boiling Spring Lakes,34.0313504,-78.0672677,148.12809565445494
51,Boiling Springs,35.254292,-81.6670407,167.43143380560818
52,Bolivia,34.0676715,-78.1483283,144.3816199015793
53,Bolton,34.3207243,-78.4019497,123.9038721010836
54,Boone,36.2165362,-81.6746158,157.29959831032167
55,Boonville,36.2326362,-80.7081209,103.5085799298829
56,Bostic,35.362623,-81.835657,174.019409481285
57,Brevard,35.2334472,-82.7342919,225.2309459750273
58,Bridgeton,35.1215489,-77.02078,123.06180857251496
59,Broadway,35.4579333,-79.0530768,43.949848505567985
60,Brookford,35.7031879,-81.3478641,141.55200978593749
61,Brunswick,34.0718195,-78.1914215,143.43623874837826
62,Bryson City,35.4309291,-83.447381,261.2168684458449
63,Bunn,35.958201,-78.25203335173745,35.401672344748604
64,Burgaw,34.5521113,-77.926098,117.80429114754504
65,Burlington,36.0956918,-79.4377991,31.97595923396277
66,Burnsville,35.9172243,-82.2996695,192.63417334269127
67,Butner,36.14268005,-78.80261814712836,5.778137044885739
68,Cajah's Mountain,35.847194,-81.53906535274834,150.61176893147024
69,Calabash,33.8907278,-78.5683446,151.6650955639894
70,Calypso,35.153776,-78.105269,76.74761484733065
71,Camden,36.3106247,-76.1150606,154.62873158590642
72,Cameron,35.3268226,-79.255303,56.147879056057164
73,Candor,35.2951421,-79.7453164,73.12504616077068
74,Canton,35.5328838,-82.8373558,226.10932040591507
75,Cape Carteret,34.6915509,-77.0630033,139.62121003056146
76,Carolina Beach,34.0351727,-77.8935966,151.18428763598325
77,Carolina Shores,33.9010054,-78.5805673,150.88486846354314
78,Carrboro,35.9099875,-79.0752876,16.403098359477795
79,Carthage,35.345802,-79.4170543,59.15061646331562
80,Cary,35.7882893,-78.7812081,20.482533127602675
81,Casar,35.5123517,-81.6173159,159.315431078189
82,Castalia,36.0818186,-78.0574884,45.30241639527459
83,Caswell Beach,33.8960076,-78.051102,157.3128410402695
84,Catawba,35.6740563,-81.2107215,134.4188391195174
85,Cedar Grove,36.1676389,-79.167793,17.952687345237226
86,Cedar Point,34.6876305,-77.0730745,139.39440346778449
87,Cedar Rock,35.1798384,-82.6340135,220.85997678723479
88,Cerro Gordo,34.3221121,-78.9264156,121.03022073677674
89,Chadbourn,34.3221129,-78.8269664,121.00438509292378
90,Chapel Hill,35.9131542,-79.05578,15.483678342659548
91,Charlotte,35.2272086,-80.8430827,125.68872157157809
92,Cherryville,35.3787442,-81.3789739,149.19732728847418
93,Chimney Rock,35.4327295,-82.2503096,195.25015452878816
94,China Grove,35.569306,-80.5817318,102.45293025239886
95,Chocowinity,35.5125955,-77.1009232,106.55347441083275
96,Claremont,35.7145776,-81.1461917,130.28212861028936
97,Clarkton,34.4873922,-78.6561257,110.2364646872102
98,Clayton,35.650711,-78.4563914,37.34794058631231
99,Clemmons,36.0215258,-80.3819984,84.91675237875839
100,Cleveland,35.7331953,-80.6770111,104.26319134560835
101,Clinton,34.9979453,-78.3233325,80.45529665234967
102,Clyde,35.5334379,-82.910691,230.16405345020962
103,Coats,35.4079393,-78.6719592,47.41639386211508
104,Cofield,36.3565436,-76.9099577,111.01934808724886
105,Colerain,36.201268,-76.7685616,117.6618909524252
106,Columbia,35.9176633,-76.2521521,146.90319133190334
107,Columbus,34.2814497,-78.666593,124.30405421821159
108,Como,36.5015414,-77.0094074,107.73351464014398
109,Concord,35.4094178,-80.5800049,106.7223617050884
110,Conetoe,35.8157136,-77.4558025,81.1355002208815
111,Connelly Springs,35.7399645,-81.5029788,149.66820847466693
112,Conover,35.7065004,-81.2184383,134.3730766990915
113,Conway,36.4370974,-77.2288563,94.77918250959424
114,Cooleemee,35.8104164,-80.5558942,96.4606976783089
115,Cornelius,35.481705,-80.8590006,119.20518497592171
116,Cove City,35.1873837,-77.3207917,106.46328324059722
117,Cramerton,35.2387504,-81.0750757,137.02615711998453
118,Creedmoor,36.122741,-78.6862272,10.587792880639835
119,Creswell,35.8697755,-76.39322567150396,139.36485214205334
120,Crossnore,36.0217938,-81.9295579,171.51437150403083
121,Dallas,35.3160401,-81.1764865,140.0812646159941
122,Danbury,36.4093047,-80.2058831,78.2147909596596
123,Davidson,35.7902384,-80.2115053,77.94506336575456
124,Denton,35.6334713,-80.1158813,76.48299867745773
125,Dillsboro,35.3700615,-83.2506638,251.2057378745572
126,Dobbins Heights,34.9048772,-79.6922771,93.2537663582188
127,Dobson,36.3956891,-80.722567,105.95370998376386
128,Dortches,36.0112646,-77.8574809,56.70240409571177
129,Dover,35.216274,-77.436907,99.98566368897066
130,Drexel,35.7579081,-81.6042614,155.08470816691698
131,Dublin,34.6568361,-78.726407,98.23181361352434
132,Duck,36.1700137,-75.7559261,174.13038373523912
133,Dunn,35.3062743,-78.6089028,55.087145633454355
134,Durham,35.996653,-78.9018053,5.879916958162834
135,Earl,35.1934623,-81.5331467,161.9482272538088
136,East Arcadia,34.382113,-78.3233353,120.82433641213345
137,East Bend,36.216528,-80.512558,92.52720848130126
138,East Spencer,35.6818059,-80.4322801,91.96373763826446
139,Eastover,35.099219,-78.78829551256487,67.56095513216033
140,Eden,36.4884715,-79.7667026,57.686583921688324
141,Edenton,36.057938,-76.6077213,126.46635428565403
142,Efland,36.0812507,-79.1691812,16.921313348894746
143,Elizabeth City,36.2956836,-76.2247697,148.43848897364444
144,Elizabethtown,34.6293372,-78.6052899,100.894077432463
145,Elk Park,36.1573464,-81.9781722,174.13205624681996
146,Elkin,36.2440516,-80.8507344,111.5131069836249
147,Ellenboro,35.3287949,-81.7587106,170.5984708905023
148,Ellerbe,35.0712608,-79.7614395,85.71440601500547
149,Elm City,35.8065455,-77.863315,59.27746581229176
150,Elon,36.1029132,-79.5066895,35.84819685937659
151,Emerald Isle,34.6653135,-77.0382187,141.8914314647131
152,Enfield,36.1809865,-77.6666415,67.51514174806712
153,Erwin,35.3268292,-78.676128,52.825586563306075
154,Eureka,35.54266,-77.8763717,66.7222221103542
155,Everetts,35.8348814,-77.1735714,96.37745290935689
156,Fair Bluff,34.3134996,-79.0372544,121.95855099639736
157,Fairmont,34.4968311,-79.114202,109.83332764241537
158,Fairview,35.52218955,-82.39268284316401,201.6803660043742
159,Faison,35.11647000000001,-78.13665658836999,77.95258193018834
160,Faith,35.587084,-80.4628385,95.75773950999331
161,Falcon,35.1898868,-78.6483498,62.38991715690007
162,Falkland,35.6983006,-77.5135397,80.29371207539464
163,Fallston,35.4284117,-81.5014757,154.66273038144246
164,Farmville,35.5954381,-77.5852496,79.244385040539
165,Fayetteville,35.0525759,-78.878292,70.63413838491446
166,Flat Rock,36.3912564,-78.3677745,35.3064653471141
167,Fletcher,35.4306712,-82.5012316,209.0366092188013
168,Forest City,35.3340108,-81.8651028,176.19970500315762
169,Forest Hills,35.297322,-83.1934785,249.1945396055146
170,Fountain,35.6740478,-77.6399741,74.2414640889504
171,Four Oaks,35.4455571,-78.4294653,49.99900715877
172,Foxfire,35.1754312,-79.5714258,73.73400885505897
173,Franklin,36.1028596,-78.2787229,32.96263920829149
174,Franklinton,36.1018163,-78.4580543,22.9427053321055
175,Franklinville,35.7437485,-79.6922501,51.683527197958334
176,Fremont,35.5454378,-77.9747087,62.0790446244858
177,Fuquay-Varina,35.5843849,-78.7998691,34.17666939952182
178,Gamewell,35.8692971,-81.5962082,153.62625542487763
179,Garland,34.785863,-78.39528950755911,92.9086542399741
180,Garner,35.7112642,-78.6141709,28.933122501707878
181,Garysburg,36.450985,-77.5588661,77.4528245435821
182,Gaston,35.2849659,-81.179014,141.05174929394929
183,Gastonia,35.2622654,-81.1838186,141.9299203515256
184,Gatesville,36.4085245,-76.75316166000877,120.24666998308234
185,Gibson,34.7590477,-79.6106104,100.08928637860967
186,Gibsonville,36.09791955,-79.54583336494393,38.022814939848665
187,Glen Alpine,35.7290168,-81.7792661,165.11214310521876
188,Godwin,35.2176639,-78.6803668,60.173082209079176
189,Goldsboro,35.3848841,-77.9927651,68.4980422639997
190,Graham,36.0690258,-79.4005756,29.877245772730195
191,Grandfather,36.0990163,-81.8476114,166.80968490338358
192,Granite Falls,35.7965205,-81.4306458,145.04034163079052
193,Granite Quarry,35.6123617,-80.4467263,94.29248100636036
194,Grantsboro,35.1406429,-76.84246,130.98645614921395
195,Green Level,36.1209704,-79.3441861,26.877876534293115
196,Greenevers,34.8223896,-77.9269273,101.45651786982441
197,Greensboro,36.0726355,-79.7919754,51.779626990508554
198,Greenville,35.613224,-77.3724593,89.77699594159978
199,Grifton,35.3978455,-77.43257498505285,93.2349703661457
200,Grimesland,35.5634956,-77.1921806,100.48199165866798
201,Grover,35.1745756,-81.4498097,158.13609124023907
202,Halifax,36.2494056,-77.66834,68.05502835965834
203,Hamilton,35.9446027,-77.2096844,93.27961843161597
204,Hamlet,34.8848533,-79.6942758,94.5108498041734
205,Harmony,35.9556911,-80.7717346,107.02299532823285
206,Harrells,34.727551000000005,-78.20144638710032,100.33165947300334
207,Harrellsville,36.3026868,-76.7924773,116.97650173292725
208,Harrisburg,35.3258295,-80.6454979,112.63273169167623
209,Hassell,35.907936,-77.2785755,89.75380423677576
210,Havelock,34.8785,-76.9014457,138.24223800283943
211,Haw River,36.091526,-79.3641862,27.849098260225276
212,Hayesville,35.0462349,-83.817935,287.78398665853643
213,Hemby Bridge,35.109955,-80.63993746711799,120.0553221325828
214,Henderson,36.3295905,-78.3991638,31.404743246990233
215,Hendersonville,35.3187279,-82.4609528,208.76092174389476
216,Hertford,36.3560545,-77.0115135,105.43044549111175
217,Hickory,35.7333312,-81.3442915,140.96489332515773
218,High Point,35.9556924,-80.0053176,64.31377161555513
219,High Shoals,35.4026352,-81.2023016,139.25744023925282
220,Highlands,35.0525909,-83.1968173,253.9040444189356
221,Hildebran,35.7140208,-81.4220334,145.50522506194187
222,Hillsborough,36.0752088,-79.0992085,13.00370747861145
223,Hobgood,36.0295946,-77.3980465,82.30112437111622
224,Hoffman,35.032378,-79.5475437,81.5951366395633
225,Holden Beach,33.9135061,-78.3038892,152.52678846262393
226,Holly Ridge,35.585643950000005,-78.75222208442409,34.488302622685836
227,Holly Springs,35.6512655,-78.8336218,29.41729419669045
228,Hookerton,35.4251622,-77.5883039,84.75495764377627
229,Hope Mills,34.9704419,-78.9453056,76.42104437269923
230,Hot Springs,35.8923253,-82.8290318,222.3718684704452
231,Hudson,35.8484645,-81.4959267,148.19712434269027
232,Huntersville,35.4108278,-80.8429304,120.18530312778653
233,Indian Beach,34.6865508,-76.8952181,146.90001047969616
234,Indian Trail,35.0768141,-80.6692352,122.71707298226998
235,Jackson,35.2962391,-83.1388055,246.21139469476833
236,Jacksonville,34.7494749,-77.4208221,122.62350557073808
237,Jamestown,35.9941053,-79.9356589,60.12340080044043
238,Jamesville,35.8112719,-76.896616,111.97048709412844
239,Jefferson,36.420403,-81.4734376,147.47930773616426
240,Jonesville,36.2393013,-80.8445152,111.13714823815845
241,Kannapolis,35.4874708,-80.621438,106.61917885062843
242,Kelford,36.1796007,-77.2235757,92.18780946563955
243,Kenansville,34.9623883,-77.9622069,92.22516148317806
244,Kenly,35.5959363,-78.1240031,53.28961466682013
245,Kernersville,36.1198589,-80.0736533,67.58877284549145
246,Kill Devil Hills,36.0321186,-75.6776147,178.5752678797966
247,King,36.275246,-80.36568613272892,84.88884318543958
248,Kings Mountain,35.2450607,-81.3410516,150.55481882041104
249,Kingstown,35.3512389,-81.612316,162.267280683615
250,Kinston,35.2626635,-77.5816353,91.54470954216458
251,Kittrell,36.2220919,-78.4377758,25.995373418052008
252,Kitty Hawk,36.0664318,-75.6935448,177.6195624603521
253,Knightdale,35.7878975,-78.4822938,29.369953284847607
254,Kure Beach,33.9968399,-77.9072081,153.37633909114706
255,La Grange,35.3068293,-77.7880338,80.63223625196937
256,Lake Lure,35.4278969,-82.2048343,192.8453715403517
257,Lake Park,35.0859691,-80.6355536,120.78995180740834
258,Lake Santeetlah,35.364846,-83.8620868,285.06507783691677
259,Lake Waccamaw,34.3190578,-78.5000088,122.95884928169613
260,Landis,35.5456947,-80.6108998,104.56628965264659
261,Lansing,36.4993936,-81.5109852,150.4342835269842
262,Lasker,36.3503041,-77.305728,89.2377299379508
263,Lattimore,35.3181818,-81.6606513,165.59092410507253
264,Laurel Park,35.4067274,-80.65240472148403,110.48642994107797
265,Laurinburg,34.7740495,-79.4628248,95.91843564624219
266,Lawndale,35.4140187,-81.5631474,158.28013615490494
267,Leggett,35.9898083,-77.57996,72.32024739815131
268,Leland,34.2203056,-78.0335992,136.41765608369164
269,Lenoir,35.2590371,-77.6484879,88.76420839467748
270,Lewiston Woodville,36.1229347,-77.1766291,94.62906462762467
271,Lewisville,36.0970819,-80.4192216,86.88378876028416
272,Lexington,35.8240265,-80.2533838,79.66017091015854
273,Liberty,35.8534705,-79.5716903,42.40546568801108
274,Lilesville,34.9676535,-79.9845032,99.08259680550549
275,Lillington,35.399121,-78.8156001,46.82997378625307
276,Lincolnton,35.473745,-81.2545251,140.44226019694005
277,Linden,35.2548851,-78.7472447,57.0828870495067
278,Littleton,36.4348946,-77.9119615,58.75664475867461
279,Locust,35.272671450000004,-80.43557136558476,104.22233051441282
280,Long View,35.7218779,-81.38553835728578,143.3886671170759
281,Louisburg,36.0990393,-78.301106,31.6990427615216
282,Love Valley,35.9898553,-80.988132,118.94228132690448
283,Lowell,35.2679163,-81.1028542,137.59675469593176
284,Lucama,35.6454365,-78.0097099,56.56813296430282
285,Lumber Bridge,34.8884971,-79.0722541,82.75612040434739
286,Lumberton,34.6183433,-79.0083993,100.88143813362657
287,Macclesfield,35.7521022,-77.6699752,70.76950878798813
288,Macon,35.1436639,-83.3977297,263.04677579384054
289,Madison,35.8482034,-82.6931063,215.03089349076814
290,Maggie Valley,35.5181575,-83.0976419,240.7159426969029
291,Magnolia,34.8965563,-78.0541545,93.40048928848823
292,Maiden,35.5766048,-81.2139216,136.21796158829318
293,Manteo,35.9082257,-75.6757303,179.1722403808664
294,Marietta,34.3690764,-79.1221944,118.62845944991886
295,Marion,35.6841022,-82.0091028,178.36908479665502
296,Marshville,34.988486,-80.3670085,113.0409063814452
297,Mars Hill,35.8263793,-82.5486848,207.10842109973066
298,Marshall,35.7974807,-82.6839313,214.87161937213995
299,Marvin,34.999286999999995,-80.82109985552725,132.8389922012059
300,Matthews,35.1159532,-80.7224386,123.72008638426118
301,Maxton,34.7351615,-79.3489317,96.42927175498447
302,Mayodan,36.4123597,-79.9669857,65.64639812696575
303,Maysville,34.9048814,-77.2313436,122.61196537296267
304,McAdenville,35.2593056,-81.0753535,136.43436340891301
305,McDonald,34.5541552,-79.175405,106.42610016471586
306,McFarlan,34.8123776,-79.9758956,107.31194527179287
307,Mebane,36.0959715,-79.2669619,22.427318752086368
308,Mesic,35.2004454,-76.6438169,138.94118949422545
309,Micro,35.5637705,-78.2044405,51.343049046770716
310,Middleburg,36.3999837,-78.322989,37.66467074799911
311,Middlesex,35.7901316,-78.2042904,42.0924090643234
312,Midland,35.2273656,-80.5006219,109.00634011130754
313,Midway,35.9534706,-80.2181043,76.16494429118461
314,Mills River,35.3963951,-82.5734951,213.5555371389029
315,Milton,36.5388422,-79.2065976,37.05513829886029
316,Mineral Springs,34.9379274,-80.6686791,128.38552849594709
317,Minnesott Beach,34.9687716,-76.8116033,138.7622419433818
318,Mint Hill,35.1735388,-80.6570377,118.46183611110787
319,Misenheimer,35.4848625,-80.2883904,89.69027296450976
320,Mocksville,35.8940236,-80.5617846,95.80757823854789
321,Momeyer,35.9612646,-78.0569327,46.064295567253104
322,Monroe,34.9854275,-80.5495112,121.05663476785405
