Town,Latitude,Longitude,Distance
Butner,36.14268005,-78.80261814712836,5.778137044885739
Durham,35.996653,-78.9018053,5.879916958162834
Creedmoor,36.122741,-78.6862272,10.587792880639835
Stem,36.199867,-78.7222261,11.710232006120632
Hillsborough,36.0752088,-79.0992085,13.00370747861145
Chapel Hill,35.9131542,-79.05578,15.483678342659548
Carrboro,35.9099875,-79.0752876,16.403098359477795
Efland,36.0812507,-79.1691812,16.921313348894746
Morrisville,35.824341,-78.8300321,17.54759972147228
Cedar Grove,36.1676389,-79.167793,17.952687345237226
Cary,35.7882893,-78.7812081,20.482533127602675
Wake Forest,35.9803138,-78.5103731,21.05193503435616
Youngsville,36.0247769,-78.4767034,22.141903005061778
Oxford,36.3107004,-78.5908345,22.3044214337836
Mebane,36.0959715,-79.2669619,22.427318752086368
Roxboro,36.3937519,-78.9827881,22.773726431881045
Franklinton,36.1018163,-78.4580543,22.9427053321055
Apex,35.7325352,-78.8505516,23.772664424438968
Raleigh,35.7803977,-78.6390989,24.115902991815933
Rolesville,35.9232862,-78.4573914,25.274159126904216
Kittrell,36.2220919,-78.4377758,25.995373418052008
Green Level,36.1209704,-79.3441861,26.877876534293115
Haw River,36.091526,-79.3641862,27.84909826022528
Swepsonville,36.0212488,-79.3614076,27.954413454482413
Garner,35.7112642,-78.6141709,28.93312250170788
Knightdale,35.7878975,-78.4822938,29.369953284847607
Holly Springs,35.6512655,-78.8336218,29.41729419669045
Alamance,36.0702678,-79.3992505,29.80138137111963
Graham,36.0690258,-79.4005756,29.877245772730195
Pittsboro,35.7201229,-79.1771539,30.143156059910165
Stovall,36.4481986,-78.5702786,30.480812455665003
Henderson,36.3295905,-78.3991638,31.404743246990236
Louisburg,36.0990393,-78.301106,31.6990427615216
Burlington,36.0956918,-79.4377991,31.97595923396277
Franklin,36.1028596,-78.2787229,32.96263920829149
Fuquay-Varina,35.5843849,-78.7998691,34.17666939952182
Sandy Creek,36.286192,-78.310408,34.284340740078065
Holly Ridge,35.585643950000005,-78.75222208442409,34.48830262268584
Wendell,35.780987,-78.3697213,34.55405479412733
Yanceyville,36.4040273,-79.3361314,34.57004362199628
Flat Rock,36.3912564,-78.3677745,35.3064653471141
Bunn,35.958201,-78.25203335173745,35.401672344748604
Zebulon,35.8221621,-78.3132126,35.670141100452064
Elon,36.1029132,-79.5066895,35.84819685937659
Ossipee,36.1720794,-79.5105794,36.59671980334269
Milton,36.5388422,-79.2065976,37.05513829886029
Clayton,35.650711,-78.4563914,37.34794058631231
Middleburg,36.3999837,-78.322989,37.66467074799911
Gibsonville,36.09791955,-79.54583336494393,38.022814939848665
Archer Lodge,35.69421265,-78.37669126610349,38.12109899764416
Whitsett,36.0712466,-79.5644686,39.04720852337566
Angier,35.5071045,-78.7391813,39.94612214803353
Siler City,35.7234734,-79.4622431,41.34841746316235
Middlesex,35.7901316,-78.2042904,42.0924090643234
Sedalia,36.0673577,-79.6205812,42.19224845289235
Liberty,35.8534705,-79.5716903,42.40546568801108
Staley,35.7959711,-79.551412,42.99689452151222
Spring Hope,35.9451536,-78.1119345,43.25763334305453
Broadway,35.4579333,-79.0530768,43.94984850556799
Wilson's Mills,35.5829914,-78.3554751,44.55190377932739
Sanford,35.4798757,-79.1802994,44.78071942547582
Norlina,36.4456097,-78.1982132,45.1644671200793
Castalia,36.0818186,-78.0574884,45.30241639527459
Warrenton,36.400278,-78.156944,45.48694340720441
Momeyer,35.9612646,-78.0569327,46.064295567253104
Bailey,35.7809129,-78.118429,46.67381425112978
Lillington,35.399121,-78.8156001,46.82997378625307
Coats,35.4079393,-78.6719592,47.41639386211508
Reidsville,36.3548586,-79.6644748,48.50378500856749
Smithfield,35.5085531,-78.33936,49.13689762194666
Selma,35.5365485,-78.2844435,49.586372950672136
Four Oaks,35.4455571,-78.4294653,49.99900715877
Ramseur,35.7334711,-79.6525267,50.03190334777064
Sims,35.76074,-78.0594124,50.26365915403918
Pleasant Garden,35.9621197,-79.762131,50.76589250988171
Nashville,35.974598,-77.9655406,50.97372458071741
Benson,35.3814368,-78.5480563,51.19995525628179
Micro,35.5637705,-78.2044405,51.34304904677072
Franklinville,35.7437485,-79.6922501,51.683527197958334
Greensboro,36.0726355,-79.7919754,51.77962699050856
Pine Level,35.5122519,-78.2445838,52.32868071568912
Erwin,35.3268292,-78.676128,52.82558656330608
Kenly,35.5959363,-78.1240031,53.28961466682013
Rockingham,36.3926798,-79.744144,53.616012742226175
