Town,Latitude,Longitude,Distance,Manhattan_Distance
Butner,36.14268005,-78.80261815,5.778137045,0.129871403
Durham,35.996653,-78.9018053,5.879916958,0.1153428
Creedmoor,36.122741,-78.6862272,10.58779288,0.2263233
Stem,36.199867,-78.7222261,11.71023201,0.2674504
Hillsborough,36.0752088,-79.0992085,13.00370748,0.2341902
Chapel Hill,35.9131542,-79.05578,15.48367834,0.3528163
Carrboro,35.9099875,-79.0752876,16.40309836,0.3754906
Efland,36.0812507,-79.1691812,16.92131335,0.3064586
Morrisville,35.824341,-78.8300321,17.54759972,0.2896002
Cedar Grove,36.1676389,-79.167793,17.95268735,0.3914586
Cary,35.7882893,-78.7812081,20.48253313,0.3744759
Wake Forest,35.9803138,-78.5103731,21.05193503,0.4532864
Youngsville,36.0247769,-78.4767034,22.14190301,0.442493
Oxford,36.3107004,-78.5908345,22.30442143,0.5096754
Mebane,36.0959715,-79.2669619,22.42731875,0.4189601
Roxboro,36.3937519,-78.9827881,22.77372643,0.4325667
Franklinton,36.1018163,-78.4580543,22.94270533,0.4335715
Apex,35.7325352,-78.8505516,23.77266442,0.3608865
Raleigh,35.7803977,-78.6390989,24.11590299,0.5244767
Rolesville,35.9232862,-78.4573914,25.27415913,0.5632957
Kittrell,36.2220919,-78.4377758,25.99537342,0.5741256
Green Level,36.1209704,-79.3441861,26.87787653,0.5211832
Haw River,36.091526,-79.3641862,27.84909826,0.5117389
Swepsonville,36.0212488,-79.3614076,27.95441345,0.5503493
Garner,35.7112642,-78.6141709,28.9331225,0.6185382
Knightdale,35.7878975,-78.4822938,29.36995328,0.673782
Holly Springs,35.6512655,-78.8336218,29.4172942,0.459086
Alamance,36.0702678,-79.3992505,29.80138137,0.5391732
Graham,36.0690258,-79.4005756,29.87724577,0.5417403
Pittsboro,35.7201229,-79.1771539,30.14315606,0.6672215
Stovall,36.4481986,-78.5702786,30.48081246,0.6677295
Henderson,36.3295905,-78.3991638,31.40474325,0.7202362
Louisburg,36.0990393,-78.301106,31.69904276,0.5877428
Burlington,36.0956918,-79.4377991,31.97595923,0.5895176
Franklin,36.1028596,-78.2787229,32.96263921,0.6139462
Fuquay-Varina,35.5843849,-78.7998691,34.1766694,0.5597193
Sandy Creek,36.286192,-78.310408,34.28434074,0.7655935
Holly Ridge,35.58564395,-78.75222208,34.48830262,0.606107266
Wendell,35.780987,-78.3697213,34.55405479,0.793265
Yanceyville,36.4040273,-79.3361314,34.57004362,0.7961854
Flat Rock,36.3912564,-78.3677745,35.30646535,0.8132914
Bunn,35.958201,-78.25203335,35.40167234,0.733738948
Zebulon,35.8221621,-78.3132126,35.6701411,0.8085986
Elon,36.1029132,-79.5066895,35.84819686,0.6656294
Ossipee,36.1720794,-79.5105794,36.5967198,0.7386855
Milton,36.5388422,-79.2065976,37.0551383,0.8014665
Clayton,35.650711,-78.4563914,37.34794059,0.8368709
Middleburg,36.3999837,-78.322989,37.66467075,0.8668042
Gibsonville,36.09791955,-79.54583336,38.02281494,0.699779615
Archer Lodge,35.69421265,-78.37669127,38.121099,0.873069384
Whitsett,36.0712466,-79.5644686,39.04720852,0.7034125
Angier,35.5071045,-78.7391813,39.94612215,0.6976875
Siler City,35.7234734,-79.4622431,41.34841746,0.9489602
Middlesex,35.7901316,-78.2042904,42.09240906,0.9495513
Sedalia,36.0673577,-79.6205812,42.19224845,0.763414
Liberty,35.8534705,-79.5716903,42.40546569,0.9284103
Staley,35.7959711,-79.551412,42.99689452,0.9656314
Spring Hope,35.9451536,-78.1119345,43.25763334,0.8868852
Broadway,35.4579333,-79.0530768,43.94984851,0.805334
Wilson's Mills,35.5829914,-78.3554751,44.55190378,1.0055068
Sanford,35.4798757,-79.1802994,44.78071943,0.9106142
Norlina,36.4456097,-78.1982132,45.16446712,1.037206
